meeting_id,race_id,race_date,track,race_time,race_class,race_distance,race_prizes,position,trap,dog_id,dog_name,trainer,comments,starting_price,time_s,time_distance,birth_date,weight,color,sire,dam,breeding_info,race_url
396342,932255,Thursday 20th April 2023,Crayford,16:58,A8,380m,1st £120 | 2nd £45 | Others £45 Race Total £345,1st,1,607694,Sweet Soul Music,D Blackbird,"EP,SnLd,MidToRls",9/2,03.66,24.05 (3/4),Jan-2021,27.1,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.1 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=396342&raceId=932255
396166,930986,Saturday 15th April 2023,Crayford,21:35,A7,380m,1st £125 | 2nd £45 | Others £45 Race Total £350,6th,1,607694,Sweet Soul Music,D Blackbird,"Crd1&3,Blk 1/4",6/1,03.69,25.01 (1 1/4),Jan-2021,27.0,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.0 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=396166&raceId=930986
395891,929090,Saturday 8th April 2023,Crayford,21:00,A7,380m,1st £125 | 2nd £45 | Others £45 Race Total £350,4th,1,607694,Sweet Soul Music,D Blackbird,"Disp-Crd1,Crd3",8/1,03.68,24.29 (1 1/2),Jan-2021,27.2,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.2 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=395891&raceId=929090
395614,927098,Saturday 1st April 2023,Crayford,20:35,A7,380m,1st £125 | 2nd £45 | Others £45 Race Total £305,5th,1,607694,Sweet Soul Music,D Blackbird,"Crd1,Rls",8/1,03.73,24.44 (3 1/2),Jan-2021,26.9,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 26.9 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=395614&raceId=927098
395027,921965,Tuesday 14th March 2023,Crayford,21:18,A6,380m,1st £130 | 2nd £45 | Others £45 Race Total £355,6th,1,607694,Sweet Soul Music,D Blackbird,"BmpRls&Blk1,Crd 1/4",14/1,03.72,25.44 (1/2),Jan-2021,26.3,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 26.3 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=395027&raceId=921965
394656,919213,Friday 3rd March 2023,Crayford,17:18,A6,380m,1st £130 | 2nd £45 | Others £45 Race Total £310,5th,2,607694,Sweet Soul Music,D Blackbird,"Crd2,Rls",8/1,03.68,24.89 (4 3/4),Jan-2021,26.6,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 26.6 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=394656&raceId=919213
394368,916656,Thursday 23rd February 2023,Crayford,15:58,A6,380m,1st £130 | 2nd £45 | Others £45 Race Total £310,4th,1,607694,Sweet Soul Music,D Blackbird,"Bmp 1/4,ImpRnIn",3/1,03.70,24.37 (1/2),Jan-2021,26.5,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 26.5 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=394368&raceId=916656
394149,914785,Friday 17th February 2023,Crayford,17:18,A6,380m,1st £130 | 2nd £45 | Others £45 Race Total £355,2nd,1,607694,Sweet Soul Music,D Blackbird,"EP,SnLd-NrLn",3/1F,03.65,24.42 (SH),Jan-2021,26.8,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 26.8 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=394149&raceId=914785
393852,912070,Tuesday 7th February 2023,Crayford,19:07,A7,380m,1st £125 | 2nd £45 | Others £45 Race Total £350,1st,1,607694,Sweet Soul Music,D Blackbird,"EP,SnLd,Bmp1&3",15/8,03.66,24.82 (3/4),Jan-2021,26.6,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 26.6 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=393852&raceId=912070
393604,910041,Wednesday 1st February 2023,Crayford,12:09,A7,380m,1st £125 | 2nd £45 | Others £45 Race Total £350,4th,1,607694,Sweet Soul Music,D Blackbird,"EP,SnLdTo1,Crd3",4/1,03.54,24.59 (3 1/2),Jan-2021,27.0,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.0 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=393604&raceId=910041
393507,909235,Saturday 28th January 2023,Crayford,10:17,A6,380m,1st £130 | 2nd £45 | Others £45 Race Total £355,6th,1,607694,Sweet Soul Music,D Blackbird,"MsdBrk,Crd 1/4& 3/4",7/4F,03.76,24.73 (1/2),Jan-2021,27.4,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.4 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=393507&raceId=909235
393232,907069,Saturday 21st January 2023,Crayford,12:54,A6,380m,1st £130 | 2nd £45 | Others £45 Race Total £355,2nd,1,607694,Sweet Soul Music,D Blackbird,"QAw,LdTo3,Rls",11/4,03.56,24.36 (1 1/4),Jan-2021,27.4,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.4 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=393232&raceId=907069
392936,904339,Wednesday 11th January 2023,Crayford,12:54,A6,380m,1st £130 | 2nd £45 | Others £45 Race Total £355,3rd,1,607694,Sweet Soul Music,D Blackbird,"EP,SnLdTo3",5/2,03.66,24.31 (1/2),Jan-2021,27.3,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.3 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=392936&raceId=904339
392752,903128,Thursday 5th January 2023,Crayford,15:18,A6,380m,1st £130 | 2nd £45 | Others £45 Race Total £355,6th,1,607694,Sweet Soul Music,D Blackbird,"Crd 1/4,Rls",7/1,03.61,24.67 (1 1/2),Jan-2021,27.5,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.5 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=392752&raceId=903128
392547,901211,Wednesday 28th December 2022,Crayford,12:24,A6,380m,1st £130 | 2nd £45 | Others £45 Race Total £355,6th,2,607694,Sweet Soul Music,D Blackbird,"Rls&BmpRnUp,Crd 1/4,Rls",11/2,03.74,24.87 (3 1/4),Jan-2021,27.6,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.6 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=392547&raceId=901211
392362,899534,Wednesday 21st December 2022,Crayford,12:09,A6,380m,1st £130 | 2nd £45 | Others £45 Race Total £355,2nd,1,607694,Sweet Soul Music,D Blackbird,"EP,SnLdTo3",9/4JF,03.64,24.07 (1 3/4),Jan-2021,27.3,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.3 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=392362&raceId=899534
392144,897731,Tuesday 13th December 2022,Crayford,18:33,A7,380m,1st £175 | 2nd £55 | Others £55 Race Total £450,1st,1,607694,Sweet Soul Music,D Blackbird,"EP,SnLd,Bmp1,Rls",9/4,03.61,24.08 (HD),Jan-2021,27.0,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.0 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=392144&raceId=897731
392004,896772,Friday 9th December 2022,Crayford,14:07,A7,380m,1st £125 | 2nd £45 | Others £45 Race Total £350,,1,607694,Sweet Soul Music,D Blackbird,-,-,-,-,Jan-2021,-,b - be,Droopys Gold,Westmead Lola,Jan-2021 | - | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=392004&raceId=896772
391742,894753,Thursday 1st December 2022,Crayford,17:18,A8,380m,1st £120 | 2nd £45 | Others £45 Race Total £345,1st,1,607694,Sweet Soul Music,D Blackbird,"EP,SnLd",13/8F,03.61,23.89 (2 3/4),Jan-2021,27.4,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.4 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=391742&raceId=894753
391610,893599,Saturday 26th November 2022,Crayford,18:35,A8,380m,1st £120 | 2nd £45 | Others £45 Race Total £345,2nd,2,607694,Sweet Soul Music,D Blackbird,"EP,2ndFrom1",6/1,03.58,23.80 (4 1/4),Jan-2021,27.2,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.2 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=391610&raceId=893599
391327,891522,Friday 18th November 2022,Crayford,17:37,A8,380m,1st £120 | 2nd £45 | Others £45 Race Total £345,4th,1,607694,Sweet Soul Music,D Blackbird,"Bmp1,2ndFr 1/4To2,Crd3",9/2,14.26,24.44 (HD),Jan-2021,27.7,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.7 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=391327&raceId=891522
390960,888455,Wednesday 9th November 2022,Crayford,13:39,A8,380m,1st £120 | 2nd £45 | Others £45 Race Total £345,3rd,1,607694,Sweet Soul Music,D Blackbird,"Crd 1/4,Bmp3",7/2,03.70,24.37 (1/2),Jan-2021,27.8,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.8 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=390960&raceId=888455
