dogName,dogId
Katies Vixen,109928
Oscars Puma,476300
Athlacca Parish,476400
Jet Stream Turbo,476500
Always A King,476600
Strath Sandy,476900
Sujo Warrior,477300
Society Jackson,477700
Forelackadeliver,477800
Ballynabee Gem,477900
Thoughtfulness,478100
Chauffeur Spinto,478400
Swift Joe,478800
Glenside Dave,479000
Rushmoor Jack,479500
Desmond Beauty,479800
Bayside Pebbles,480000
Hurry Up Beamer,480200
Ellens Blue Mai,480400
Nickys Miller,480500
Clonaugh Rocket,480700
Eye Eye Pixie,480900
Doonanes Smasher,481100
Churchtown Loch,481300
Fire Height Bob,481500
Fawkham Porsche,481700
Shaneboy Fenton,482500
Coolavanny Aiden,483400
Minor Lass,474678
Orbital Queen,484000
Dance Toner,484100
Vicarage Blossom,484300
Cincinnati,484400
Crossfield Coco,484800
Black Domino,485200
Ballymac Dean,485800
Melodys Vicky,485900
Central Cloud,486100
Cassies Lady,486200
Mucky Melody,486300
Castell Betty,486400
Borwick Pine,486800
Classy Gene,486900
Knockmant Chick,487100
Soberano Skye,487500
Target Frost,487700
Shirley Heights,488000
Ogalla Zippy,488300
Greenwell Simba,489100
Eaton Park,489300
Mary Annie,489500
Keeperhill Kari,489700
Lullymore Girl,490000
Tullymurry Wave,490100
Tyrur Pogba,490400
Ower Boy Wonder,490500
Rackethall Gem,490600
Shinetimescolari,490800
Forest Melanie,105046
Got Your Sox On,491100
Great Respect,491200
Topper Harry,491600
Kilara Anniejo,491900
Target Bridie,492100
Rattling Grange,492200
Double Zero,492300
Hittheroadjack,492600
Corrin Ben,492800
Killinan Poulet,492900
Aero Eriksen,493400
Alien Sparkie,493600
Geelo Owen,493700
Coolagown Blush,493800
Rummy Major,493900
Suirview Craig,494100
Grandads Boy,494400
Salacres Canada,494700
Target Lulu,494800
Macaroon Cruz,494855
Topper Blaze,495700
Lord Kinsale,495900
Sword Of Gold,496100
Slaneyside Hoey,496300
Dodgers Riley,496500
Funny Breeze,496900
Knockdrinna Edel,497100
Holborn King,497200
Jayms Rocky,497300
Beechview Hero,497400
Battstreet Chick,497500
Rustys Forest,497600
Lenson Tate,497700
Hollyoak Kartel,497800
Devils Apache,497900
Westmead Bear,498000
Pats Quackers,498300
Lavan Bob,498800
To Tone Sammy,499000
Madabout Julie,499500
Mustang Kelly,109915
Ide Fly,499800
Walk On Esther,500000
Tyrur Daly,500400
Alltheway Murphy,500500
Mellys Mission,500600
Wickla Gudrun,500800
Lisneal Kacie,500900
Alnwick Alan,501300
Whats Dot Upto,501400
Pro Duchess,111272
Notorious Tory,501900
Mollys Twinkle,502000
Its A Nightmare,502100
Mystical Rosie,502300
Solway Spirit,502400
Caterham Stella,502500
Act Seven,502600
Carrigoe Andy,502800
Copeland Danny,502900
Drumcrow Nicky,503100
Fahy Dave,503300
Mill Harley,503400
Creamery Daisy,503500
Colarhouse Daisy,503600
Coolruss Evo,503700
Slaheny Rose,503542
Deja Dance,504000
Imfootballmagic,504200
Violet Elizabeth,504500
Geelo Wonder,504900
Elderberry Siren,505000
Kilbreedy Yankee,505200
Renegade Lexy,505300
Bramble Emily,505900
Swift Gabriel,506200
Catunda Heidi,506500
Gan Gan Fred,506700
Hulk Miss,506800
Salems Apollo,506900
Reaveys Ralph,507100
Clonbrien Prince,507300
Torrey Pines,507400
Swift Television,507500
Dunaghy Nidge,507600
Melbury Bullseye,508000
Miss Recruit,508100
Clarens Sidney,508200
Nil Satis Bally,508300
Our Dog Ellie,508400
Livinonaprayer,508800
Snowflake Lady,509400
Lacazette,510000
Surewhynot,510300
Canine Queen,510400
Sword Of Fate,510500
Truffles,510600
Huarache Neves,510700
Bamba,113547
Samba Indi,511300
Bolshoi Betty,511500
Tycoon Ruby,511600
Cold Mountain,511700
Antigua Diamond,511800
Rockmount Secret,512300
Magical Icarus,512400
Joegogo,512500
Black Olive,512700
Grading Axis,512800
Royston News,107225
Book Of Dreams,513500
Riverside Honey,100948
Denny Auntie,513900
Ballydorgan Shaq,514300
Rita From Russia,514400
Savana Ace,514800
Skip Havana,514900
Jaxx Ladybird,515000
Kiltrea Duke,515100
Saleen Ivy,515300
Underling,515500
Fenview Luna,515600
Munie Theresa,515900
Alnwick Magic,516300
Walk On Mick,516400
Steady Madison,516600
Ferryforth Anna,516800
Baran Saturn,517000
Snowdon Geneva,113806
Hollylake Lisa,517300
Hello Gorgeous,517400
Dublinhill Flare,517600
Catunda Sonic,517800
Derrygreen Bobby,517900
Westlake Denise,518100
Icy Carrig,518300
Shinnagh Lee,518600
Gowan Fiffy,518700
Our Unique Jake,518900
Hollander,519200
Blooms Batman,519600
Jap Rox,110518
Dareuarenow,519900
Adrigole Ruby,520000
Salems Invictus,520100
Mo Cara Bear,520400
Forge Lady,520700
Incredible Too,520900
Thatsa Cracker,521100
Mines A Bitter,521300
Annies Cherry,521400
Rumble Rio,521500
Sidaz Jet,521800
Laravoulta Jess,521900
Almighty Roddick,522000
Slipalong Sky,522300
Supreme Ayr,522400
Davys Choice,522500
Queen Dolly,113729
Black Savannah,522800
Jumeirah Sky,523100
Spy A Chick,523200
Droopys Gospel,523400
Ivanhoe Queen,523700
Whats April Upto,523800
Total Madness,524000
Torrent Bailey,524400
Ballymoney Jan,524500
Whats Hazel Upto,525928
So Perfect,524800
Ring Miss Finn,525000
Dublinhill Blitz,525100
Marlfield Donna,525200
Alarming Ronnie,525500
Dorando Double,525700
Corgrigg Daisy,526000
Carrowkeal Aidan,526100
Border Sniper,526200
Take Him There,526300
Blunder Buss,526900
Expert Tiny,527000
Amelias Magic,527400
Deeteedee Viper,527500
Coney Eazeagud,527600
Old Inn Princess,527700
Effernogue Angie,527800
Minglers Ginger,528100
Trade Sprite,528200
Boomtown Secret,528400
Kilquarry Babes,528600
Yellow Silk,528700
Queen Jessiej,111385
Romantic Jimmy,529400
Newinn Liz,108027
Goodwood Express,529600
You Say Star,529700
Pattys Micky,513275
Houdini Lad,530400
Senahel Matty,530500
Helens Bay,106994
Joes Weapon,530700
Mooney,530800
Swift Whisker,531000
Knotmor Luke,531100
Shelone Sydney,531300
Stouke Dele Ali,531400
Three Ems,112967
Colarhouse Foxy,532000
Harton Lara,532100
Burnpark Dumbo,532200
Ballinakil Pearl,532300
Twins Jetto,532600
Moorstown Maria,532700
Lapari Kate,533000
Hector Me Daddy,533100
Waikiki Spy,533300
Killuran Puma,533700
Sunfire Shelly,534100
Insane Keeley,534400
Mays Altior,534800
Badmeetsevil,535871
Ballymac Dorothy,535300
Maglass Matt,535400
Storys Elaine,535700
Knockdrum Bridie,545951
Dingys Source,536100
Headford Bride,536200
Minnies Kazan,536400
Bonville Buster,537000
Cross Keys Itch,537100
Baileys Beauty,537200
Loggies Primrose,537400
Ardera Dale,537500
Trapstyle Genie,537600
Ballykett Magic,537700
Ballybin Rocket,538100
Mickys Roofer,538200
Foxy Lass,538500
Pure Pestova,538600
Mustang Bridie,538900
Aayamza Lexie,108648
Footfield Noah,539300
Benwell Girl,539600
Mightbeastar,108831
Peters Point,540100
Drumcrow Vince,540200
Cals Liberty,540400
Fifty Cents,540700
Eden Electra,541000
Fastfinger Kev,541600
Gatchells Davey,541900
Celtic Diva,542000
Kippers Daisy,542300
Westlake Hovex,542500
Unique Capella,542600
Outdoor Harley,542700
Watermillvermont,543400
Salacres Escaped,543600
Honour Freeman,543900
Chris Special,544000
Parsnip Nellie,544200
Hows Parker,102321
Karlow Vic,544800
Brennans Natasha,545000
Bit View Ollie,545100
Ashway Eddie,545200
Darbys Kitty,545300
Darver Bruno,545500
Corten Steel,545700
Emmas Blaze,545900
Corrin Trump,546200
Punk Rock Blitz,546400
Anglesey Bend,546500
Joyces Slaney,547000
Slippy Maire,547100
Southdowns Lucy,547300
Easy Be Quick,547400
Sheriff Glen,547500
Moaning Jet,547600
Spot On Denny,547700
Limitless Glory,547900
All About Nona,105833
Ridgedale Polly,548100
Alien Brian,548800
Hitthelids Blake,548900
Smearla Vic,549000
Ramat One,549300
Icaals The Beast,549500
Berlin Tango,549600
Le Clerc,549700
Ballydoyle Roger,550200
Stop Wont Stop,550800
Box Clever Lad,550900
Pumpkin,551000
Misfit Eames,551200
Skimcoat Finch,551500
Hello Maximus,551800
Bubbly Maniac,552400
Gavins Rocco,552500
March On Magic,552600
Classy Twister,552800
Al Capone,553400
Droopys Yogi,553500
Nice Jingle,553600
Millabbey Laura,553700
Cloyne History,553800
Spirit Patriot,554100
Bower Blossom,554400
Ballymurry Sky,554800
Chelms Ted,581700
National Impact,581900
Glory Liz,582200
Garryfine Dolly,582400
Droopys Sublime,582500
Sullane Bruno,582800
Telex Sky,583000
Bolson Arrow,584300
Russmur Liz,111980
Leclair Noire,584800
Bockos Leah,584900
Keady Warrior,585000
Mendthebend,585200
Jumeirah Emms,585400
Active Present,585700
Pinkys Lady,587300
Summer Sonic,587900
Crinkill Paddy,588000
Burning Love,588200
Shortwood Burpee,588300
Mustang United,588500
Someone Else,588600
Maceys Wisegirl,588700
Vinegarhill Theo,588800
Sugar Wolf,588900
Gialux Jet,589300
In Your Eyes,590800
Miss Franco,590900
Decisive Rogue,591100
Solid Heggo,591500
Cmon Now Jeffrey,591600
Threelittlebirds,591800
Wee Lucys Rabbo,591900
Droopys Yee Haw,592100
Townspark Draco,592200
Get On Harlow,593100
Skilful Cavani,593200
Magical Richie,593400
Joyces Jet,593500
Gowarn Babs,593600
Tommys Bolt,593800
Honour Galway,593900
Autumn Taylor,594100
Salacres Sambam,594300
Private Rosie,600100
Cleenas Lily,600200
Classy Ruler,600400
Russmur Blake,600900
Hawkfield Karma,601200
Shockwave Omen,602400
Trapstyle Hawk,604400
Kilaharry Goldie,604500
Da Main Man,604600
Melodys Pearl,604800
Welsh Collier,605300
Peads Merc,605400
Old Fort Barney,605500
Fairest Spirit,605800
Baggios Fury,606000
Saintly,606600
Droopys Chaser,606700
Almar Joker,607700
Colourful Dream,609400
Farran Panda,609900
Dellser Peacon,610300
Ballyoran Lucky,610800
Runaway Dannie,612100
Gleeful Glider,612800
Marble Butterfly,613300
Casino Gloria,615000
Pennys Baasha,619100
Seomra Razz,619300
Aulton Dubh,619400
Hashtag Oi Oi,619900
Cross Keys Maria,620200
Roxhill Melita,620300
Swift Quarantine,620500
Joyces Penny,620700
Burrows Diamond,620900
Monbeg Zoe,621000
Hazelhill Ned,621200
Trewmount Des,621300
Signature Carl,621500
Mill Little Bear,621900
Toolmaker Stan,622100
Happy Place,622200
Patchwork Blue,622600
Ballinulty Fire,622700
Ivy Hill Bonnie,622800
Fridays Wild,623100
One Day Dream,623200
Drumdoit Lady,623300
Whitewood Pearl,623400
Direct Breda,623500
Barnora Michael,623800
Hurry Up Jordan,624100
Savana Liz,624200
Greenwell Ange,624300
Jemmy,624600
Hollyoak Fiona,624700
Letter Flash,624900
Malibu Hondo,625000
Hollywood Belle,625200
Sandyhill Jess,625300
Kitmins Blondie,625400
Aero Electric,625500
Nametab Cleo,626000
Blackberry Elle,626200
Easy Pasodoble,626500
Aegis Jud,626900
Cleanaway Judy,627300
Deacon Kissy,627500
Forever Dreaming,628000
Bling Bling Jane,628600
Signature Daisy,628700
Sehnsa Fury,629000
Miami Patrol,629200
Dream Keeper,629300
Fair Well,629500
Lacie Draws,629600
Murrow Breeze,629700
Bealad Torro,629900
Tober Skye,630000
Another Eli,630100
Bolt Of Wisdom,630500
Cunnigar Emperor,630700
Breton Rosebud,631000
Burgess Bono,631200
Hopes Queen,631300
Tinnock Jetson,631600
Millhouse Harry,631800
Swift Saga,632200
Quivers Panda,632700
Kerabellec Nell,632900
Cloncunny Avon,633000
Alien Bluefire,633400
Tiktok Express,633700
Hollywell Oddsox,633900
Shortshanks,634100
Headford Angel,634400
Outdoor Phoenix,634800
Franco George,634900
Elderberry Misty,635000
Stheno,635700
Alineas Raptor,636000
Likely Lads,636100
Shortwood Storm,636400
Fill The Silence,636700
Ardmoulin Joe,636800
Runaway Dior,636900
Scala Brew,637000
Swift Delta,637200
Maybe Dreaming,637500
Uncle Ken,637600
Timahoe Bolger,637800
Gambet,638100
Keefill Rocky,638300
Antigua Ariel,638500
Explosive Hirdy,638800
Da Guvnor,639000
Kilgarran Belle,639200
Stouke Silk,639300
Mohican Banana,639700
Confey Blaze,639900
Stylish Lady,643408
Droopys Queen,640600
Easy Player,640700
Feora Lucy,640800
Freyas Queen,641500
Gingers Rubin,641600
Saleen Pablo,642200
Snodland Sniper,642400
Outdoor Sacred,642600
Slipalong Rex,643500
Sharp Royd,643600
Afan Louie,643700
Distant Rover,644000
Jaw Dropping,644200
Mohican Oscar,644400
Links Fantasy,644500
Kyletaun Redzer,644600
Soul Choice,644700
Hawkfield Blitz,645300
Blastoff Kobbie,645600
Aghaburren Milly,645900
Droopys Highfive,646000
Swift Bullseye,646100
Princess Pipsie,646700
Da Boy Frank,646900
Solway Blue,647200
Emers Tyson,648000
Blackrose Kudos,648800
Droopys Heiress,648900
Out The Blue,649000
Airforce Jackpot,649300
Alohas Nidge,649500
Untold Aave,649700
Runforlucy,649900
Fastlane Lilly,650200
Bubbly Crusader,650400
Mohican Lucy,650500
Jayne Louise,650700
Tantalising Joy,650900
Daisy Doo,651300
Kamir,651900
Toomuchchat,652000
Young Youngy,652200
Canya Moll,652300
Valid Signature,652500
Cartoonist,652700
Cruiser Finn,653200
Sandwood Vernie,654000
Aero Spears,654200
Stackemup Polly,651943
Tenalach,654500
Keepers Nutty,655600
Lolly,400601
Crossyourfingers,101364
Fabulous Cyan,401101
Skipalongscolari,401601
Santro Star,401801
Blue Player,401901
Miss Guided,402201
Pats Romeo,402801
Thats Rich,403801
Blacksmith Joe,404001
Cheers Buddy,404601
Grease Scolari,405001
Two Sugars,405301
Icecool Ally,406101
Moneygall Nico,406501
Blue Appeal,406601
Pinpoint Finas,110318
Whiskey Comet,406801
Glanmire Jet,407001
Romeo Cool Reply,407601
Indigo Anne,407901
Claires Pal,408401
Lets Go Flo,408601
Spinning Around,409001
Rourkeys Options,409301
Roaming Pearl,409801
Nikitas Suzie,411201
Tromora Jet,411401
Weyburn Lad,411601
Swift Lacoste,411701
Dungannon Paula,412101
Invisible Spirit,412801
Sup Lolls,413401
Corrin Breeda,414201
Tubrid Ace,414401
Carnis Rock,414501
Slaneyside John,414901
Hear Me Right,108726
Ballinulty Wild,415901
Fleetwood Bucko,416001
Early Rush,416301
Bubbly Maya,416401
Wellesley Jay,416601
Droopys Vivienne,417101
Movealong Turbo,417401
Elwick Domanik,417501
Game Joan,418201
Spice Tea,418301
Confident Samuel,418701
Guinness Spark,419601
Madam Marmalade,421001
Dance Michael,421401
Avaune Pearl,422401
Tagalong Sue,422601
Volcano,103787
Big Boy,423401
Blacktrench Daw,423801
Hollyoak Norman,424101
Buzzin Doll,424201
Go Jo Jo,424301
Drifting Joker,424401
Droopys Champ,424501
Rising Bullet,425201
Millars Prince,425301
Polly Ella,425601
Mountaylor Night,426201
Lauragh Lennon,426301
Ferryforth Conor,426501
Doitfor Graham,426601
Hawks Walk,427201
Janiemac Imblack,427501
Fletchwood Rita,428001
Ellie Elsewhere,428601
Wargames,429301
Early Flame,429601
Boherash Aisling,430101
Push Push Pixie,430301
Padraigs One,430501
Unlikely Patrick,430601
Pageir,430701
Classy Zumo,430801
Wiggo,431001
Sharp Shoes,431601
Tullig Lewis,432001
Coolemore Joe,432301
Sahara Delboy,432401
Tarbrook Storm,433201
Kilkenny Quito,433701
Forest Lexie,434101
Tadghs Glory,434301
Brother John,434401
Paradise Abbey,109432
Coldwater Bee,106371
Target Phantom,435001
Mill Tezza,435501
Got To Dance,435601
Pablo Sienna,435801
Flavel Finch,435901
Double Indemnity,436801
Fab Jackie,436901
Minglers Loch,437101
Gentle Hannah,437301
Grumpy Bear,437401
Go Baby Go,437701
Roeview Eagle,438001
Clonbonane Sue,438201
Blackrose Ron,438301
Rizzoli Brute,438401
Shop Gibbon,438501
Ballymac Ivar,438701
Fabulous Journal,107735
Classone Produce,438901
Uniquely Red,439201
Rockvale Linnet,439501
Sunfire Gold,440201
Slick Seawolf,440401
Amelavas Dream,440601
Blind Raz,440701
Filey Bay,440901
Ballysteen Rose,441001
Ballymac Ganya,441301
Orbital Star,441401
Coolavanny Pandy,467096
Tugboat Tess,442301
Caislean Snowie,442401
Montana Jewel,442801
Moody Maggie,442901
Avalon Babs,443101
Tip Top Sky,443401
Clonleigh Kate,444301
Graiguenoe Girl,444601
Mikes Time,444701
Who Needs Help,444801
Maternal Mush,445101
Lazy Brogie,445301
Caulry Special,445501
